Year,state,Population
2006,Delaware,853476
2007,Delaware,864764
2008,Delaware,876211
2009,Delaware,885122
2010,Delaware,899792
2011,Delaware,908137
2012,Delaware,917092
1960,Florida,4951560
1961,Florida,5222000
1962,Florida,5459000
1963,Florida,5652000
1964,Florida,5705000
1965,Florida,5805000
1966,Florida,5941000
1967,Florida,5995000
1968,Florida,6160000
1969,Florida,6354000
1970,Florida,6789443
1971,Florida,7041000
1972,Florida,7259000
1973,Florida,7678000
1974,Florida,8090000
1975,Florida,8357000
1976,Florida,8421000
1977,Florida,8452000
1978,Florida,8594000
1979,Florida,8860000
1980,Florida,9567112
1981,Florida,10166000
1982,Florida,10416000
1983,Florida,10680000
1984,Florida,10976000
1985,Florida,11366000
1986,Florida,11675000
1987,Florida,12023000
1988,Florida,12377000
1989,Florida,12671000
1990,Florida,12937926
1991,Florida,13277000
1992,Florida,13488000
1993,Florida,13679000
1994,Florida,13953000
1995,Florida,14166000
1996,Florida,14400000
1997,Florida,14654000
1998,Florida,14916000
1999,Florida,15111244
2000,Florida,15982378
2001,Florida,16373330
2002,Florida,16691701
2003,Florida,16999181
2004,Florida,17385430
2005,Florida,17768191
2006,Florida,18089888
2007,Florida,18251243
2008,Florida,18423878
2009,Florida,18537969
2010,Florida,18838613
2011,Florida,19082262
2012,Florida,19317568
1960,Georgia,3943116
1961,Georgia,3987000
1962,Georgia,4100000
1963,Georgia,4140000
1964,Georgia,4294000
1965,Georgia,4357000
1966,Georgia,4459000
1967,Georgia,4509000
1968,Georgia,4588000
1969,Georgia,4641000
1970,Georgia,4589575
1971,Georgia,4664000
1972,Georgia,4720000
1973,Georgia,4786000
1974,Georgia,4882000
1975,Georgia,4926000
1976,Georgia,4970000
1977,Georgia,5048000
1978,Georgia,5084000
1979,Georgia,5118000
1980,Georgia,5400851
1981,Georgia,5569000
1982,Georgia,5639000
1983,Georgia,5732000
1984,Georgia,5837000
1985,Georgia,5976000
1986,Georgia,6104000
1987,Georgia,6222000
1988,Georgia,6401000
1989,Georgia,6436000
1990,Georgia,6478216
1991,Georgia,6623000
1992,Georgia,6751000
1993,Georgia,6917000
1994,Georgia,7055000
1995,Georgia,7201000
1996,Georgia,7353000
1997,Georgia,7486000
1998,Georgia,7642000
1999,Georgia,7788240
2000,Georgia,8186453
2001,Georgia,8405677
2002,Georgia,8544005
2003,Georgia,8676460
2004,Georgia,8918129
2005,Georgia,9132553
2006,Georgia,9363941
2007,Georgia,9544750
2008,Georgia,9697838
2009,Georgia,9829211
2010,Georgia,9712157
2011,Georgia,9812460
2012,Georgia,9919945
1960,Hawaii,632772
1961,Hawaii,657000
1962,Hawaii,693000
1963,Hawaii,694000
1964,Hawaii,701000
1965,Hawaii,711000
1966,Hawaii,718000
1967,Hawaii,739000
1968,Hawaii,778000
1969,Hawaii,794000
1970,Hawaii,769913
1971,Hawaii,789000
1972,Hawaii,809000
1973,Hawaii,832000
1974,Hawaii,847000
1975,Hawaii,865000
1976,Hawaii,887000
1977,Hawaii,895000
1978,Hawaii,897000
1979,Hawaii,915000
1980,Hawaii,964680
1981,Hawaii,979000
1982,Hawaii,994000
1983,Hawaii,1023000
1984,Hawaii,1039000
1985,Hawaii,1054000
1986,Hawaii,1062000
1987,Hawaii,1083000
1988,Hawaii,1093000
1989,Hawaii,1112000
1990,Hawaii,1108229
1991,Hawaii,1135000
1992,Hawaii,1160000
1993,Hawaii,1172000
1994,Hawaii,1179000
1995,Hawaii,1187000
1996,Hawaii,1184000
1997,Hawaii,1187000
1998,Hawaii,1193000
1999,Hawaii,1185497
2000,Hawaii,1211537
2001,Hawaii,1227024
2002,Hawaii,1240663
2003,Hawaii,1248755
2004,Hawaii,1262124
2005,Hawaii,1273278
2006,Hawaii,1285498
2007,Hawaii,1283388
2008,Hawaii,1287481
2009,Hawaii,1295178
2010,Hawaii,1363359
2011,Hawaii,1378129
2012,Hawaii,1392313
1960,Idaho,667191
1961,Idaho,684000
1962,Idaho,698000
1963,Idaho,713000
1964,Idaho,692000
1965,Idaho,692000
1966,Idaho,694000
1967,Idaho,699000
1968,Idaho,705000
1969,Idaho,718000
1970,Idaho,713008
1971,Idaho,732000
1972,Idaho,756000
1973,Idaho,770000
1974,Idaho,799000
1975,Idaho,820000
1976,Idaho,831000
1977,Idaho,857000
1978,Idaho,878000
1979,Idaho,905000
1980,Idaho,943629
1981,Idaho,959000
1982,Idaho,965000
1983,Idaho,989000
1984,Idaho,1001000
1985,Idaho,1005000
1986,Idaho,1003000
1987,Idaho,998000
1988,Idaho,999000
1989,Idaho,1014000
1990,Idaho,1006749
1991,Idaho,1039000
1992,Idaho,1067000
1993,Idaho,1099000
1994,Idaho,1133000
1995,Idaho,1163000
1996,Idaho,1189000
1997,Idaho,1210000
1998,Idaho,1229000
1999,Idaho,1251700
2000,Idaho,1293953
2001,Idaho,1320585
2002,Idaho,1343124
2003,Idaho,1367034
2004,Idaho,1395140
2005,Idaho,1429367
2006,Idaho,1466465
2007,Idaho,1499402
2008,Idaho,1527506
2009,Idaho,1545801
2010,Idaho,1571102
2011,Idaho,1583744
2012,Idaho,1595728
1960,Illinois,10081158
1961,Illinois,10258000
1962,Illinois,10146000
1963,Illinois,10182000
1964,Illinois,10489000
1965,Illinois,10644000
1966,Illinois,10722000
1967,Illinois,10893000
1968,Illinois,10974000
1969,Illinois,11047000
1970,Illinois,11113976
1971,Illinois,11196000
1972,Illinois,11251000
1973,Illinois,11236000
1974,Illinois,11131000
1975,Illinois,11145000
1976,Illinois,11229000
1977,Illinois,11245000
1978,Illinois,11243000
1979,Illinois,11230000
1980,Illinois,11355062
1981,Illinois,11455000
1982,Illinois,11448000
1983,Illinois,11486000
1984,Illinois,11511000
1985,Illinois,11535000
1986,Illinois,11533000
1987,Illinois,11582000
1988,Illinois,11544000
1989,Illinois,11658000
1990,Illinois,11430602
1991,Illinois,11543000
1992,Illinois,11631000
1993,Illinois,11697000
1994,Illinois,11752000
1995,Illinois,11830000
1996,Illinois,11847000
1997,Illinois,11896000
1998,Illinois,12045000
1999,Illinois,12128370
2000,Illinois,12419293
2001,Illinois,12520227
2002,Illinois,12586447
2003,Illinois,12649087
2004,Illinois,12712016
2005,Illinois,12765427
2006,Illinois,12831970
2007,Illinois,12852548
2008,Illinois,12842954
2009,Illinois,12910409
2010,Illinois,12841980
2011,Illinois,12859752
2012,Illinois,12875255
1960,Indiana,4662498
1961,Indiana,4711000
1962,Indiana,4715000
1963,Indiana,4694000
1964,Indiana,4825000
1965,Indiana,4885000
1966,Indiana,4918000
1967,Indiana,5000000
1968,Indiana,5067000
1969,Indiana,5118000
1970,Indiana,5193669
1971,Indiana,5274000
1972,Indiana,5291000
1973,Indiana,5316000
1974,Indiana,5330000
1975,Indiana,5311000
1976,Indiana,5302000
1977,Indiana,5330000
1978,Indiana,5374000
1979,Indiana,5400000
1980,Indiana,5461103
1981,Indiana,5466000
1982,Indiana,5471000
1983,Indiana,5479000
1984,Indiana,5498000
1985,Indiana,5499000
1986,Indiana,5504000
1987,Indiana,5531000
1988,Indiana,5575000
1989,Indiana,5593000
1990,Indiana,5544159
1991,Indiana,5610000
1992,Indiana,5662000
1993,Indiana,5713000
1994,Indiana,5752000
1995,Indiana,5803000
1996,Indiana,5841000
1997,Indiana,5864000
1998,Indiana,5899000
1999,Indiana,5942901
2000,Indiana,6080485
2001,Indiana,6126743
2002,Indiana,6156913
2003,Indiana,6199571
2004,Indiana,6226537
2005,Indiana,6266019
2006,Indiana,6313520
2007,Indiana,6345289
2008,Indiana,6388309
2009,Indiana,6423113
2010,Indiana,6490622
2011,Indiana,6516353
2012,Indiana,6537334
1960,Iowa,2757537
1961,Iowa,2779000
1962,Iowa,2777000
1963,Iowa,2780000
1964,Iowa,2756000
1965,Iowa,2760000
1966,Iowa,2747000
1967,Iowa,2753000
1968,Iowa,2748000
1969,Iowa,2781000
1970,Iowa,2825041
1971,Iowa,2852000
1972,Iowa,2883000
1973,Iowa,2904000
1974,Iowa,2855000
1975,Iowa,2870000
1976,Iowa,2870000
1977,Iowa,2879000
1978,Iowa,2896000
1979,Iowa,2903000
1980,Iowa,2907804
1981,Iowa,2897000
1982,Iowa,2905000
1983,Iowa,2905000
1984,Iowa,2910000
1985,Iowa,2884000
1986,Iowa,2851000
1987,Iowa,2834000
1988,Iowa,2834000
1989,Iowa,2840000
1990,Iowa,2776755
1991,Iowa,2795000
1992,Iowa,2812000
1993,Iowa,2814000
1994,Iowa,2829000
1995,Iowa,2842000
1996,Iowa,2852000
1997,Iowa,2852000
1998,Iowa,2862000
1999,Iowa,2869413
2000,Iowa,2926324
2001,Iowa,2931967
2002,Iowa,2935840
2003,Iowa,2941976
2004,Iowa,2952904
2005,Iowa,2965524
2006,Iowa,2982085
2007,Iowa,2988046
2008,Iowa,2993987
2009,Iowa,3007856
2010,Iowa,3050202
2011,Iowa,3064097
2012,Iowa,3074186
1960,Kansas,2178611
1961,Kansas,2194000
1962,Kansas,2219000
1963,Kansas,2225000
1964,Kansas,2225000
1965,Kansas,2234000
1966,Kansas,2250000
1967,Kansas,2275000
1968,Kansas,2303000
1969,Kansas,2321000
1970,Kansas,2249071
1971,Kansas,2258000
1972,Kansas,2258000
1973,Kansas,2279000
1974,Kansas,2270000
1975,Kansas,2267000
1976,Kansas,2310000
1977,Kansas,2326000
1978,Kansas,2348000
1979,Kansas,2369000
1980,Kansas,2354783
1981,Kansas,2381000
1982,Kansas,2408000
1983,Kansas,2425000
1984,Kansas,2438000
1985,Kansas,2450000
1986,Kansas,2461000
1987,Kansas,2476000
1988,Kansas,2487000
1989,Kansas,2513000
1990,Kansas,2477574
1991,Kansas,2495000
1992,Kansas,2523000
1993,Kansas,2531000
1994,Kansas,2554000
1995,Kansas,2565000
1996,Kansas,2572000
1997,Kansas,2595000
1998,Kansas,2629000
1999,Kansas,2654052
2000,Kansas,2688418
2001,Kansas,2702125
2002,Kansas,2711769
2003,Kansas,2724786
2004,Kansas,2733697
2005,Kansas,2748172
2006,Kansas,2764075
2007,Kansas,2775997
2008,Kansas,2797375
2009,Kansas,2818747
2010,Kansas,2859143
2011,Kansas,2870386
2012,Kansas,2885905
1960,Kentucky,3038156
1961,Kentucky,3076000
1962,Kentucky,3082000
1963,Kentucky,3095000
1964,Kentucky,3159000
1965,Kentucky,3179000
1966,Kentucky,3183000
1967,Kentucky,3189000
1968,Kentucky,3229000
1969,Kentucky,3232000
1970,Kentucky,3219311
1971,Kentucky,3282000
1972,Kentucky,3299000
1973,Kentucky,3342000
1974,Kentucky,3357000
1975,Kentucky,3396000
1976,Kentucky,3428000
1977,Kentucky,3458000
1978,Kentucky,3498000
1979,Kentucky,3527000
1980,Kentucky,3641479
1981,Kentucky,3661000
1982,Kentucky,3667000
1983,Kentucky,3714000
1984,Kentucky,3723000
1985,Kentucky,3726000
1986,Kentucky,3728000
1987,Kentucky,3727000
1988,Kentucky,3721000
1989,Kentucky,3727000
1990,Kentucky,3685296
1991,Kentucky,3713000
1992,Kentucky,3755000
1993,Kentucky,3789000
1994,Kentucky,3827000
1995,Kentucky,3860000
1996,Kentucky,3884000
1997,Kentucky,3908000
1998,Kentucky,3936000
1999,Kentucky,3960825
2000,Kentucky,4041769
2001,Kentucky,4068816
2002,Kentucky,4089822
2003,Kentucky,4118189
2004,Kentucky,4141835
2005,Kentucky,4172608
2006,Kentucky,4206074
2007,Kentucky,4241474
2008,Kentucky,4287931
2009,Kentucky,4314113
2010,Kentucky,4347223
2011,Kentucky,4366814
2012,Kentucky,4380415
1960,Louisiana,3257022
1961,Louisiana,3321000
1962,Louisiana,3330000
1963,Louisiana,3418000
1964,Louisiana,3468000
1965,Louisiana,3534000
1966,Louisiana,3603000
1967,Louisiana,3662000
1968,Louisiana,3732000
1969,Louisiana,3745000
1970,Louisiana,3643180
1971,Louisiana,3681000
1972,Louisiana,3720000
1973,Louisiana,3764000
1974,Louisiana,3764000
1975,Louisiana,3791000
1976,Louisiana,3841000
1977,Louisiana,3921000
1978,Louisiana,3966000
1979,Louisiana,4026000
1980,Louisiana,4199542
1981,Louisiana,4305000
1982,Louisiana,4362000
1983,Louisiana,4438000
1984,Louisiana,4462000
1985,Louisiana,4481000
1986,Louisiana,4501000
1987,Louisiana,4461000
1988,Louisiana,4420000
1989,Louisiana,4382000
1990,Louisiana,4219973
1991,Louisiana,4252000
1992,Louisiana,4287000
1993,Louisiana,4295000
1994,Louisiana,4315000
1995,Louisiana,4342000
1996,Louisiana,4351000
1997,Louisiana,4352000
1998,Louisiana,4369000
1999,Louisiana,4372035
2000,Louisiana,4468976
2001,Louisiana,4470368
2002,Louisiana,4476192
2003,Louisiana,4493665
2004,Louisiana,4506685
2005,Louisiana,4507331
2006,Louisiana,4287768
2007,Louisiana,4293204
2008,Louisiana,4451513
2009,Louisiana,4492076
2010,Louisiana,4545343
2011,Louisiana,4574766
2012,Louisiana,4601893
1960,Maine,969265
1961,Maine,992000
1962,Maine,999000
1963,Maine,982000
1964,Maine,989000
1965,Maine,993000
1966,Maine,983000
1967,Maine,973000
1968,Maine,979000
1969,Maine,978000
1970,Maine,993663
1971,Maine,1003000
1972,Maine,1029000
1973,Maine,1028000
1974,Maine,1047000
1975,Maine,1059000
1976,Maine,1070000
1977,Maine,1085000
1978,Maine,1091000
1979,Maine,1097000
1980,Maine,1123670
1981,Maine,1132000
1982,Maine,1133000
1983,Maine,1146000
1984,Maine,1156000
1985,Maine,1164000
1986,Maine,1174000
1987,Maine,1187000
1988,Maine,1206000
1989,Maine,1222000
1990,Maine,1227928
1991,Maine,1235000
1992,Maine,1235000
1993,Maine,1239000
1994,Maine,1240000
1995,Maine,1241000
1996,Maine,1243000
1997,Maine,1242000
1998,Maine,1244000
1999,Maine,1253040
2000,Maine,1274923
2001,Maine,1284470
2002,Maine,1294894
2003,Maine,1309205
2004,Maine,1314966
2005,Maine,1318220
2006,Maine,1321574
2007,Maine,1317207
2008,Maine,1319691
2009,Maine,1318301
2010,Maine,1327379
2011,Maine,1328544
2012,Maine,1329192
1960,Maryland,3100689
1961,Maryland,3188000
1962,Maryland,3191000
1963,Maryland,3289000
1964,Maryland,3432000
1965,Maryland,3519000
1966,Maryland,3613000
1967,Maryland,3682000
1968,Maryland,3757000
1969,Maryland,3765000
1970,Maryland,3922399
1971,Maryland,4000000
1972,Maryland,4056000
1973,Maryland,4070000
1974,Maryland,4094000
1975,Maryland,4098000
1976,Maryland,4144000
1977,Maryland,4139000
1978,Maryland,4143000
1979,Maryland,4149000
1980,Maryland,4192211
1981,Maryland,4261000
1982,Maryland,4265000
1983,Maryland,4304000
1984,Maryland,4349000
1985,Maryland,4392000
1986,Maryland,4463000
1987,Maryland,4535000
1988,Maryland,4644000
1989,Maryland,4694000
1990,Maryland,4781468
1991,Maryland,4860000
1992,Maryland,4908000
1993,Maryland,4965000
1994,Maryland,5006000
1995,Maryland,5042000
1996,Maryland,5072000
1997,Maryland,5094000
1998,Maryland,5135000
1999,Maryland,5171634
2000,Maryland,5296486
2001,Maryland,5386079
2002,Maryland,5450525
2003,Maryland,5512310
2004,Maryland,5561332
2005,Maryland,5589599
2006,Maryland,5615727
2007,Maryland,5618344
2008,Maryland,5658655
2009,Maryland,5699478
2010,Maryland,5785681
2011,Maryland,5839572
2012,Maryland,5884563
1960,Massachusetts,5148578
1961,Massachusetts,5234000
1962,Massachusetts,5161000
1963,Massachusetts,5218000
1964,Massachusetts,5338000
1965,Massachusetts,5348000
1966,Massachusetts,5383000
1967,Massachusetts,5421000
1968,Massachusetts,5437000
1969,Massachusetts,5467000
1970,Massachusetts,5689170
1971,Massachusetts,5758000
1972,Massachusetts,5787000
1973,Massachusetts,5818000
1974,Massachusetts,5800000
1975,Massachusetts,5828000
1976,Massachusetts,5809000
1977,Massachusetts,5782000
1978,Massachusetts,5774000
1979,Massachusetts,5769000
1980,Massachusetts,5728288
1981,Massachusetts,5770000
1982,Massachusetts,5781000
1983,Massachusetts,5767000
1984,Massachusetts,5798000
1985,Massachusetts,5822000
1986,Massachusetts,5832000
1987,Massachusetts,5855000
1988,Massachusetts,5871000
1989,Massachusetts,5913000
1990,Massachusetts,6016425
1991,Massachusetts,5996000
1992,Massachusetts,5998000
1993,Massachusetts,6012000
1994,Massachusetts,6041000
1995,Massachusetts,6074000
1996,Massachusetts,6092000
1997,Massachusetts,6118000
1998,Massachusetts,6147000
1999,Massachusetts,6175169
2000,Massachusetts,6349097
2001,Massachusetts,6401164
2002,Massachusetts,6421800
2003,Massachusetts,6420357
2004,Massachusetts,6407382
2005,Massachusetts,6433367
2006,Massachusetts,6437193
2007,Massachusetts,6449755
2008,Massachusetts,6543595
2009,Massachusetts,6593587
2010,Massachusetts,6555466
2011,Massachusetts,6607003
2012,Massachusetts,6646144
1960,Michigan,7823194
1961,Michigan,7954000
1962,Michigan,7991000
1963,Michigan,8116000
1964,Michigan,8098000
1965,Michigan,8218000
1966,Michigan,8374000
1967,Michigan,8584000
1968,Michigan,8740000
1969,Michigan,8766000
1970,Michigan,8875083
1971,Michigan,8997000
1972,Michigan,9082000
1973,Michigan,9044000
1974,Michigan,9098000
1975,Michigan,9157000
1976,Michigan,9104000
1977,Michigan,9129000
1978,Michigan,9189000
1979,Michigan,9208000
1980,Michigan,9228128
1981,Michigan,9201000
1982,Michigan,9109000
1983,Michigan,9069000
1984,Michigan,9075000
1985,Michigan,9088000
1986,Michigan,9145000
1987,Michigan,9200000
1988,Michigan,9300000
1989,Michigan,9273000
1990,Michigan,9295297
1991,Michigan,9368000
1992,Michigan,9437000
1993,Michigan,9478000
1994,Michigan,9496000
1995,Michigan,9549000
1996,Michigan,9594000
1997,Michigan,9774000
1998,Michigan,9817000
1999,Michigan,9863775
2000,Michigan,9938444
2001,Michigan,10006266
2002,Michigan,10043221
2003,Michigan,10082364
2004,Michigan,10104206
2005,Michigan,10100833
2006,Michigan,10095643
2007,Michigan,10071822
2008,Michigan,10002486
2009,Michigan,9969727
2010,Michigan,9877143
2011,Michigan,9876801
2012,Michigan,9883360
1960,Minnesota,3413864
1961,Minnesota,3470000
1962,Minnesota,3475000
1963,Minnesota,3500000
